id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Anvil Ale House,brewpub,728 Kruis Street,,,Dullstroom,Mpumalanga,1110,South Africa,+27 73 169 7155,https://www.anvilale.co.za/,30.1017,-25.4223
,Sabie Brewing Company,brewpub,17 Main Road,,,Sabie,Mpumalanga,1260,South Africa,+27 13 764 1005,https://www.sabiebrewery.com/,30.7928,-25.0976
,Hops Hollow Craft Brewery,brewpub,Milestone 22.2 Long Tom Pass R37,,,Lydenburg,Mpumalanga,1120,South Africa,+27 13 235 8910,https://www.hopshollow.com/,30.5516,-25.2018
