id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
def4c1dd-dfdb-42ff-a03a-d2a00c9f3d7f,Zipfer Brauerei (Heineken),large,Zipf 22,,,Zipf,OberÃ¶sterreich,4871,Austria,+4376823600,https://www.zipfer.at,13.503957656337409,48.036812902437156
,Klosterbrauerei Stift Engelszell,nano,Stiftstraße 6,,,Engelhartszell,Oberösterreich,4090,Austria,+4377178010,https://www.stift-engelszell.at/trappistenbrauerei/brauerei,13.73460683956955,48.498616150950205
