obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,country,longitude,latitude,phone,website_url,updated_at,created_at,tags
o-brother-brewing-kilcool,O Brother Brewing,micro,G3,Network Enterprise Park,,Kilcool,,Wicklow,A63 DX47,Ireland,-6.0642913,53.0986762,+353872028465,https://www.obrotherbrewing.com/,2021-03-26,2021-03-26,
the-wicklow-brewery-redcross,The Wicklow Brewery,micro,Main Street,Ballygillaroe,,Redcross,,Wicklow,A67 H799,Ireland,-6.1471627,52.8893592,+35340441661,http://www.wicklowbrewery.ie/,2021-03-26,2021-03-26,
wicklow-wolf-brewing-company-bray,Wicklow Wolf Brewing Company,regional,Wicklow Wolf,Moneycarroll,Newtown Mount Kennedy,Bray,,Wicklow,A63 A243,Ireland,-6.1109949,53.0842111,+35315676993,http://www.wicklowwolf.com/,2021-03-26,2021-03-26,
