obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags
killarney-brewing-company-killarney,Killarney Brewing Company,micro,"Muckross Rd ",,,Killarney,,Kerry,V93 RC95,http://www.killarneybrewing.com/,3.53647E+11,Ireland,-9.5092943,52.0543192,
tig-bhric-and-west-kerry-brewery-ballyferriter,Tig Bhric & West Kerry Brewery,brewpub,Reask,Dingle Peninsula,,Ballyferriter,,Kerry,V92 P681,https://westkerrybrewery.ie/,3.53877E+11,Ireland,-10.3932719,52.1697735,
torc-brewing-killarney,Torc Brewing,micro,JD Industrial Park,Scart,,Killarney,,Kerry,V93 H761,http://www.torcbrewing.ie/,3.53877E+11,Ireland,-9.5564852,52.1402528,
