obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags
nortada-porto,Nortada,brewpub,R. de Sá da Bandeira 210,,,Porto,,Porto,4000-427,https://cervejanortada.pt,+351 22 018 1000,Portugal,-8.608164266696724,41.148109589962274,
sovina-lda-porto,"Sovina, Lda.",micro,"Rua Manuel Pinto de Azevedo, 65",Armazém 4 e 5,,Porto,,Porto,"4100-321 ",https://sovina.pt/,+351 22 600 69 36,Portugal,-8.645222959665363,41.17075782152705,
